user_name,following,follower,n_likes
['franesg'],41,42,1666
['johnapabon'],138,81.8K,3.3M
['wastehero'],0,1186,26.1K
['ninaathill'],1333,3124,349.5K
['yugenearthside'],95,1167,21.5K
['mantior222'],41,234,1597
['aralleida'],0,8965,105.6K
['planetconservation_'],63,143,2540
['elliottontheroad'],16,1141,9235
['akasha.retreats'],25,68,896
['adventuresofalicee'],106,928,6832
['alexbelmont44'],17,347,8550
['barbienaestrada'],40,1299,46.4K
['travelout_now'],165,57,2316
['marishkkk.ka'],18,52,2316
['naturewonders.world'],822,315,1629
['planetconservation_'],63,143,2540
['travelout_now'],165,57,2316
[],138,143.2K,3M
['alexisintheair'],854,5557,704.7K
['sue.auris'],1,26,2276
['thefantasticcompany'],61,12.5K,121.4K
['ape2o'],12,27,212
['chargeholidays'],170,186,7509
['elliottontheroad'],16,1141,9235
['elliottontheroad'],16,1141,9235
['einfachanke'],266,12.5K,694.5K
['orangutantour'],9751,40.3K,1.1M
['elliottontheroad'],16,1141,9235
['happygringotravel'],3644,2585,14.7K
['dkgr_'],157,95,2097
['chargeholidays'],170,186,7509
['abbiedewhurst'],189,73.8K,1.7M
['travelout_now'],165,57,2316
['glamplinglaestrella'],9,1291,3702
['planetconservation_'],63,143,2540
['chargeholidays'],170,186,7509
['veronicalavil'],461,732,48.1K
['discoverireland.ie'],123,17.7K,238.7K
['kosay_bali'],349,950,13.7K
['getmintly'],269,3869,47.9K
['geraibarra_'],1946,1137,2748
['discovergreece.com'],10,30.4K,252.1K
['naturewithliam'],83,885,55.9K
['dayouts.lk'],1,28,311
['goodriddancemozzie'],25,261,918
['iberostar'],0,69.9K,368.7K
['applevacations'],18,1786,13.1K
['johnsonscoaches'],21,1140,4437
['visit.keswick'],17,1310,12K
['napuadance'],663,3137,15.3K
['binnysfoodandtravel'],950,1900,63.4K
['elliottontheroad'],16,1141,9235
['bamboozora'],2,39,1617
['vivaverdeturismo'],11,14,186
['hichamzagori1'],2120,26.4K,375K
['wanderinginwunder'],8,84,2255
['luis.najera01'],325,2205,28.4K
['matinhontheroad'],18,47,890
['hi_iceland'],61,185,1617
['david_trvlr'],11,60,467
['drmaryannprinsloo'],56,314,2534
['opreismetco'],211,476,6302
['budiartiannisa'],363,4134,348.6K
['nicosecond26'],7,635,600
['dayouts.lk'],1,28,311
['thredmag'],1374,2681,564.9K
['trytobe_a_good_one'],0,8,999
['jungleculture.eco'],412,17.8K,243.8K
['roma.wells.private'],548,263,645
['worldpackers'],1169,213.4K,2.3M
['ontours.app'],2,23,332
['meredith.sandiego'],400,312,8929
['planetconservation_'],63,143,2540
['nature.to.relax.you'],8525,19.6K,11K
['ormaguides'],22,225,6409
['orangutantour'],9751,40.3K,1.1M
